Part Number (Digikey),Description,Manufacturer,Package,Reference,Qty,Value,Price(ZAR),Exclude from BOM,Exclude from Board,Footprint,Datasheet
,,,,"C1,C12",2,4.7u,,,,Capacitor_THT:CP_Radial_D10.0mm_P2.50mm,
,,,,"C2,C3,C13,C15",4,100p,,,,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,
,,,,"C4,C5,C9,C11,C14,C16,C21,C22",8,100u,,,,Capacitor_THT:CP_Radial_D10.0mm_P3.50mm,
,,,,"C6,C17",2,300p,,,,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,
,,,,"C7,C8,C10,C18,C19,C20",6,100n,,,,Capacitor_THT:CP_Radial_Tantal_D5.0mm_P5.00mm,
,,,,J1,1,NL4MDXX-H-2,,,,Connector_Audio:Jack_speakON_Neutrik_NL4MDXX-H-2_Horizontal,https://www.neutrik.com/en/product/nl4mdxx-h-2
,,,,"J2,J3",2,Conn_01x04_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,
,,,,"Q1,Q2,Q3,Q4,Q5,Q7,Q14,Q16",8,BC546,,,,Package_TO_SOT_THT:TO-92_Inline,https://www.onsemi.com/pub/Collateral/BC550-D.pdf
,,,,"Q6,Q8,Q15,Q17",4,BD140,,,,Package_TO_SOT_THT:TO-126-3_Vertical,http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00001225.pdf
,,,,"Q9,Q11",2,BCM846BS-7,,,,Package_TO_SOT_SMD:SOT-363_SC-70-6,
,,,,"Q10,Q18",2,BD139,,,,Package_TO_SOT_THT:TO-126-3_Vertical,http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00001225.pdf
,,,,"Q12,Q19",2,TIP36,,,,Package_TO_SOT_THT:TO-247-3_Horizontal_TabDown,
,,,,"Q13,Q20",2,TIP35,,,,Package_TO_SOT_THT:TO-247-3_Horizontal_TabDown,
,,,,"R1,R2,R5,R16,R18,R23",6,1k,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
,,,,"R3,R8,R17,R22",4,22k,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
,,,,"R4,R20",2,20.25k,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
,,,,"R6,R19",2,560,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
,,,,"R7,R21",2,1.6k,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
,,,,"R9,R10,R24,R25",4,1.6k,,,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
,,,,"R11,R14,R26,R27",4,270,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
,,,,"R12,R13,R28,R29",4,0.33,,,,Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P20.32mm_Horizontal,
,,,,"R15,R30",2,10,,,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
,,,,"RV1,RV2",2,1k,,,,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,
